;** RIFORNIMENTI DA DEPOSITI AL: 23/01/2018 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da TRI;(in pallet);in arrivo (PZ);da PAR;(in pallet);in arrivo (PZ);da CAS;(in pallet);in arrivo (PZ);Mancante
009721;BULK V 3000 10W40 LT.1        ;        487;         4;         1;         1;         0;         0;         0;         0;         0;         0;         0;        482
013995;LUBEX PRO 4T 10W40 LT.1       ;        535;         0;        19;         1;         0;         0;         0;         0;         0;         0;         0;        516
002266;CASTROL EDGE 0W30 LT.1        ;        359;         8;        39;         1;         0;         0;         0;         0;         0;         0;         0;        312
008756;TEXACO MEROPA  320 LT. 20     ;        121;         0;         6;         1;         0;         0;         0;         0;         0;         0;         0;        115
002340;BOSCH BATTERIA S4008 (74A DX) ;      1.466;     1.257;         0;         0;         0;     1.466;        31;         0;         0;         0;         0;          0
008757;TEXACO MULTIFAK 264  KG.18    ;        952;         0;       281;        12;         0;         0;         0;         0;         0;         0;         0;        671
002345;BOSCH BATTERIA S4000-vedi 9133;        927;     2.049;         0;         0;         0;       527;         8;         0;         0;         0;         0;          0
002356;BOSCH BATTERIA S3008 (70A DX) ;        471;       943;         0;         0;         0;       453;        10;         0;         0;         0;         0;          0
008886;TEXACO MULTIFAK EP 2 KG. 0,400;         62;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;         61
008801;TEXACO TEXAMATIC 7045E LT.1   ;         58;         0;         3;         1;         0;         0;         0;         0;         0;         0;         0;         55
009411;TEXACO MULTIFAK T EP2 KG.0,400;         48;         0;         8;         1;         0;         0;         0;         0;         0;         0;         0;         40
010114;TEXACO RANDO HD  46 LT. 20    ;         60;        44;        60;         2;         0;         0;         0;         0;         0;         0;         0;          0
002341;BOSCH BATTERIA S4005 (60A DX) ;        348;     1.008;         0;         0;         0;       348;         6;         0;         0;         0;         0;          0
002357;BOSCH BATTERIA S4010 (80AH DX);        347;     1.507;         0;         0;         0;       347;        10;         0;         0;         0;         0;          0
010298;TEXACO URSA TD 15W40 LT. 20   ;         37;         8;        16;         1;         0;         0;         0;         0;         0;         0;         0;         13
010052;TEXACO URSA HEV DU 15W40 LT 20;         38;         0;        38;         2;         0;         0;         0;         0;         0;         0;         0;          0
010293;TEXACO MULTIFAK EP 2 KG. 18   ;         36;         4;         3;         1;         0;         0;         0;         0;         0;         0;         0;         29
013493;LUBEX ORIGINAL 70 L3          ;        503;     1.512;       157;         4;         0;         0;         0;         0;         0;         0;         0;          0
008743;TEXACO HAV EXTRA 10W40 LT. 1  ;        727;         0;        28;         1;         0;         0;         0;         0;         0;         0;         0;        699
009093;TEXACO HAV XLI (CL00) LT.20   ;         21;         0;         8;         1;         0;         0;         0;         0;         0;         0;         0;         13
013499;MV+ BATTERIA 70               ;        373;     1.071;       373;         5;         0;         0;         0;         0;         0;         0;         0;          0
010116;TEXACO URSA TDX 10W40 LT. 208 ;          4;         0;         4;         1;         0;         0;         0;         0;         0;         0;         0;          0
008716;TEXACO HAV XLC 50/50 LT. 20   ;         14;         0;         3;         1;         0;         0;         0;         0;         0;         0;         0;         11
013973;URSUS MOTO BATTERIA  X4 BS    ;        141;         0;         8;         1;         0;         0;         0;         0;         0;         0;         0;        133
008927;TEXACO STARPLEX EP 2 KG.0,400 ;         94;         0;         6;         1;         0;         0;         0;         0;         0;         0;         0;         88
016382;VORTEX  BATTERIA 55 L2B       ;        262;       144;       262;         5;         0;         0;         0;         0;         0;         0;         0;          0
010112;TEXACO RANDO HD  32 LT. 20    ;         18;        28;         4;         1;         0;         0;         0;         0;         0;         0;         0;          0
008745;TEXACO HAV EXTRA 10W40 LT.20  ;         13;         0;        13;         1;         0;         0;         0;         0;         0;         0;         0;          0
008733;TEXACO GEAR EP-C 85W140 LT.20 ;          9;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          8
008861;TEXACO HYDRAUL HDZ  46 LT. 20 ;         11;        12;        11;         1;         0;         0;         0;         0;         0;         0;         0;          0
008803;TEXACO TEXAMATIC 7045E LT.20  ;          7;         1;         2;         1;         0;         0;         0;         0;         0;         0;         0;          4
008754;TEXACO MEROPA  220 LT. 20     ;          8;         4;         4;         1;         0;         0;         0;         0;         0;         0;         0;          0
002347;BOSCH BATTERIA S4019 (40AH SX);         91;       572;         0;         0;         0;        91;         2;         0;         0;         0;         0;          0
008746;TEXACO HAV EXTRA 10W40 LT. 5  ;         65;        32;         5;         1;         0;         0;         0;         0;         0;         0;         0;         28
008717;TEXACO REGAL EP  46 LT.208    ;         96;        64;        27;         7;         0;         0;         0;         0;         0;         0;         0;          5
010117;TEXACO URSA TDX 10W40 LT. 20  ;          5;         0;         5;         1;         0;         0;         0;         0;         0;         0;         0;          0
009479;TEXACO MOTOR OIL S 5W40 LT.20 ;          5;         0;         5;         1;         0;         0;         0;         0;         0;         0;         0;          0
010113;TEXACO RANDO HD  46 LT. 208   ;         54;        32;        28;         7;         0;         0;         0;         0;         0;         0;         0;          0
013507;TEXACO S. TRACTOR 10W40 LT.20 ;          4;         5;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
015341;MOMO FODERA UNIV. - SC008BG   ;        174;         0;         0;         0;         0;         0;         0;         0;       174;         1;         0;          0
015350;MOMO 4 TAPP. MOQUE - CM008BG  ;        165;         0;         0;         0;         0;         0;         0;         0;       165;         1;         0;          0
008768;TEXACO HAV ULTRA S 5W30 LT. 20;          3;         0;         3;         1;         0;         0;         0;         0;         0;         0;         0;          0
008741;TEXACO HAV ENERGY 5W30 LT.20  ;          3;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          2
008901;TEXACO RANDO HD  68 LT.1000   ;          1;        13;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
008752;TEXACO MEROPA  150 LT. 20     ;          4;         0;         4;         1;         0;         0;         0;         0;         0;         0;         0;          0
008988;TEXACO URSA LE 10W30 LT.20    ;          3;         4;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
014652;TEXACO HAV PRODS V 5W30 LT.20 ;          2;        24;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
010172;TEXACO HAV XLC 50/50 LT.1000  ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
010299;TEXACO URSA TD 15W40 LT. 208  ;         28;        64;        28;         7;         0;         0;         0;         0;         0;         0;         0;          0
010106;TEXACO URSA HEV DU 10W LT.20  ;          3;         8;         3;         1;         0;         0;         0;         0;         0;         0;         0;          0
014656;TEXACO HAV PRODS M 5W30 LT.20 ;          2;        20;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
015351;MOMO 4 TAPP. MOQU - GM007BG   ;        155;         0;         0;         0;         0;         0;         0;         0;       155;         1;         0;          0
015355;MOMO C/AUTO TG.M - CC001LM    ;         56;         0;         0;         0;         0;         0;         0;         0;        56;         1;         0;          0
015100;ULTRAX BATTERIA 50 L1         ;         50;         0;        50;         1;         0;         0;         0;         0;         0;         0;         0;          0
014631;WH 305700301 CAMERA 29X1,75   ;          3;         0;         3;         1;         0;         0;         0;         0;         0;         0;         0;          0
016849;SPARCO BATTERIA KK45          ;          8;         0;         8;         1;         0;         0;         0;         0;         0;         0;         0;          0
008897;TEXACO RANDO HD  22 LT.20     ;          2;         4;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
015101;ULTRAX BATTERIA 60 L2         ;         40;         0;        40;         1;         0;         0;         0;         0;         0;         0;         0;          0
015103;ULTRAX BATTERIA 74 L3         ;         29;         0;        29;         1;         0;         0;         0;         0;         0;         0;         0;          0
009697;TEXACO HAV ENERGY MS 5W30 LT.1;        223;         0;        36;         1;         0;         0;         0;         0;         0;         0;         0;        187
010300;TEXACO URSA TD 15W40 LT.1000  ;          2;        44;         2;         2;         0;         0;         0;         0;         0;         0;         0;          0
015345;MOMO C/ORGANIZER SEDILE CO005 ;         80;         0;         0;         0;         0;         0;         0;         0;        10;         1;         0;         70
002360;TAMOIL SUP.DIESELTURBO LT.20  ;         10;        54;         0;         0;         0;        10;         1;         0;         0;         0;         0;          0
015332;MOMO C/VOLANTE SWC006BW       ;        266;         0;         0;         0;         0;         0;         0;         0;       266;         1;         0;          0
015339;MOMO FODERA UNIV. - SC021BR   ;         67;         0;         0;         0;         0;         0;         0;         0;        67;         1;         0;          0
015102;ULTRAX BATTERIA 70 L3         ;         31;         0;        31;         1;         0;         0;         0;         0;         0;         0;         0;          0
016846;SPARCO BATTERIA KK100         ;         17;       840;        17;         1;         0;         0;         0;         0;         0;         0;         0;          0
008793;TEXACO TECHRON D  CONC ML350  ;        121;         0;        60;         1;         0;         0;         0;         0;         0;         0;         0;         61
010290;TEXACO CAPELLA WF 68 LT.208   ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
015104;ULTRAX BATTERIA 80 L4         ;         21;         0;        21;         1;         0;         0;         0;         0;         0;         0;         0;          0
015333;MOMO C/VOLANTE SWC004BG       ;        207;         0;         0;         0;         0;         0;         0;         0;       207;         1;         0;          0
015105;ULTRAX BATTERIA 100 L5        ;         16;         0;        16;         1;         0;         0;         0;         0;         0;         0;         0;          0
015099;ULTRAX BATTERIA 44 L1         ;         29;         0;        29;         1;         0;         0;         0;         0;         0;         0;         0;          0
014653;TEXACO HAV PRODS V 5W30 LT.4  ;          8;         0;         8;         1;         0;         0;         0;         0;         0;         0;         0;          0
016851;SPARCO BATTERIA KK55          ;         23;         0;         2;         1;         0;         0;         0;         0;         0;         0;         0;         21
008964;TEXACO HDAX 7200 LT.1000      ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
014594;ECLIPSE BATTERIA 50 L2        ;         22;        72;        22;         1;         0;         0;         0;         0;         0;         0;         0;          0
014135;TEXACO TEXTRAN 1000 THF LT.208;         10;        64;        10;         3;         0;         0;         0;         0;         0;         0;         0;          0
008744;TEXACO HAV EXTRA 10W40 LT.208 ;        163;         0;       163;        41;         0;         0;         0;         0;         0;         0;         0;          0
014663;TEXACO HAV ULTRA S 5W40 LT.4  ;         28;        20;        12;         1;         0;         0;         0;         0;         0;         0;         0;          0
008736;TEXACO GEAR S4 75W90 LT.20    ;          5;         0;         5;         1;         0;         0;         0;         0;         0;         0;         0;          0
015347;MOMO CAR ORGANIZER - CO001    ;         98;         0;         0;         0;         0;         0;         0;         0;        36;         1;         0;         62
013052;TEXACO HAV XLC CONCENT LT. 208;          8;        32;         8;         2;         0;         0;         0;         0;         0;         0;         0;          0
010115;TEXACO HDAX 6500 LT.1000      ;          8;        32;         8;         8;         0;         0;         0;         0;         0;         0;         0;          0
010297;TEXACO URSA TD 10W40 LT.208   ;          6;         0;         6;         2;         0;         0;         0;         0;         0;         0;         0;          0
009698;TAMOIL 100% SINT 5W30 B-D LT10;         72;         0;        72;         1;         0;         0;         0;         0;         0;         0;         0;          0
008794;TEXACO MOTOR OIL 10W40 LT.1000;        -48;         0;       -48;       -48;         0;         0;         0;         0;         0;         0;         0;          0
008989;TEXACO URSA X 10W40 LT.20     ;          4;         0;         4;         1;         0;         0;         0;         0;         0;         0;         0;          0
016848;SPARCO BATTERIA KK221         ;          2;         0;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
014114;ORLEN LUBRO SF/CC 20W50 LT.1  ;          2;         0;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
008755;TEXACO MEROPA  320 LT. 208    ;          4;         4;         4;         1;         0;         0;         0;         0;         0;         0;         0;          0
008742;TEXACO HAV ENERGY 5W30 LT. 5  ;          3;         4;         3;         1;         0;         0;         0;         0;         0;         0;         0;          0
002265;TEXACO HAV ULTRA S 5W40 LT.208;         47;       780;        47;        12;         0;         0;         0;         0;         0;         0;         0;          0
